animal,image_url
Canis lupus,https://www.mediastorehouse.com/t/789/tracks-timber-wolf-canis-lupus-39907543.jpg.webp
Canis lupus,https://render.fineartamerica.com/images/rendered/small/greeting-card/images-medium-5/a-pair-of-grey-wolf-tracks-canis-lupus-dan-rafla.jpg?transparent=0&targetx=-26&targety=0&imagewidth=752&imageheight=500&modelwidth=700&modelheight=500&backgroundcolor=6D7E82&orientation=0&producttype=greetingcard
Canis lupus,https://www.mediastorehouse.com/t/789/tracks-timber-wolf-canis-lupus-39907193.jpg.webp
Canis lupus,https://saudi-archaeology.com/wp-content/uploads/2012/02/Wolf-Footprints-225x300.jpg
Canis lupus,https://www.ardeaprints.com/t/172/arctic-wolf-tracks-minnesota-usa-1447359.jpg.webp
Canis lupus,https://www.ardeaprints.com/t/172/polar-bear-tracks-footprints-snow-1310387.jpg.webp
Canis lupus,https://www.ardeaprints.com/t/172/snow-leopard-tracks-12-000-ft-jammu-kashmir-1452571.jpg.webp
Canis lupus,https://cdn12.picryl.com/thumbnail/2016/12/31/wolf-track-canis-lupus-3ed3da-200.jpg
Canis lupus,https://srv.latostadora.com/designall.dll/footprints--i:14138584049514138520;d:840495;w:240;b:FFFFFF;m:1.jpg
Canis lupus,https://yourlifenature.com/wp-content/uploads/2017/07/WolfTracksLithoCard-213x300.jpg
Canis lupus,https://www.licensestorehouse.com/t/467/wolfcanis-lupustracks-13955333.jpg.webp
Canis lupus,https://www.ardeaprints.com/t/172/rabbit-tracks-pm-1180-snow-c-pat-morris-ardea-1833799.jpg.webp
Canis lupus,https://img.mauritius-images.com/NDEN/public/00268449.jpg/save_as_name/mauritius%20images%20-%2000268449%20-%20Timber%20Wolf%20(Canis%20lupus)%20tracks%20in%20mud%2C%20western%20Montana.jpg
Ursus arctos,https://www.ardeaprints.com/t/172/snow-leopard-tracks-12-000-ft-jammu-kashmir-1452571.jpg.webp
Ursus arctos,https://www.mediastorehouse.com.au/t/467/tracks-grizzly-bear-ursus-arctos-11105823.jpg.webp
Ursus arctos,https://www.ardeaprints.com/t/172/grizzly-bear-footprints-tracks-1837637.jpg.webp
Ursus arctos,https://www.mediastorehouse.co.uk/t/467/footprints-adult-coastal-grizzly-bear-13955667.jpg.webp
Ursus arctos,https://www.mediastorehouse.com/t/467/adult-grizzly-bear-tracks-sandy-beach-24927850.jpg.webp
Ursus arctos,https://www.ardeaprints.com/t/172/grizzly-bear-track-mud-alaska-front-paw-1307734.jpg.webp
Ursus arctos,https://americanprairie.org/app/uploads/2023/11/BearTrack_Hero-300x200.jpg
Vulpes vulpes,https://www.ardeaprints.com/t/172/snow-leopard-tracks-12-000-ft-jammu-kashmir-1452571.jpg.webp
Cervus elaphus,https://www.mammalwatching.com/wp-content/uploads/AAAMammalwatching/Images/Palearctic/Romania/20220305-Lynx-tracks-209x300.jpg
Cervus elaphus,https://upload.wikimedia.org/wikipedia/commons/6/6e/Cervus.elaphus.track.on.snow.jpg
Cervus elaphus,https://www.natureplprints.com/t/729/mountain-hare-lepus-timidus-footprints-snow-15364405.jpg.webp
